__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · תיקון וחידוש דיג'רידו,R1-11,REP-04,—,,,,בוצע,—,ברור,שאלות נפוצות — 6 מהמסמך,SECTION 05,"faqblock CPT cats:repair בסדר אחר מהמסמך (שדרוג ראשון, זמן חמישי). ששת הנוסחים כן מהמסמך.",שש השאלות מ-SECTION 05 שורות 205–240 בסדר המסמך + [כלים ואביזרים לדיג'רידו](/tools-and-accessories) + CTA ל-/contact.,"faq-inline, בלי לגעת ב-block-faq-list.php וב-inc/data/*.json.",repair-defaults.php SECTION 05,http://eyalamit-co-il-2026.s887.upress.link/repair/,,פאזה א׳ 18.8.26. /tools-and-accessories חי 200 — לא הומר ל-/shop/. ממתין ל-GO BUILD.,,
עמוד · כלי דיג'רידו למכירה,R1-12,DG-01,ב־/shop/ כבר הודבק אותו מסמך. מה לעשות עם /didgeridoos/?,,,,בוצע,—,ברור,כפילות מול החנות,כל העמוד · אותו buy didgeridoo.md,תיקיית «כלים למכירה» מכילה קובץ md יחיד. R1-10 הדביק אותו ב-/shop/ (הוגש). המנדט נועל את אותו md גם ל-/didgeridoos/. המסמך לא קובע נתיב. להמציא עמוד-מוצר שונה = אסור.,בחירה אחת. אין ניסוח חדש.,"לפי הבחירה. להדביק גם כאן → GO BUILD על DG-04/05 ב-didgeridoos-defaults.php בלבד (מקור=md, לא shop-defaults.php). להפנות לחנות → בלי הדבקה; הפניה מחוץ לערוץ התוכן (CODE-BLOCKED אחרי ההכרעה). להקפיא → אפס שינוי עד מסמך ילד.",didgeridoos-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/didgeridoos/,להדביק גם כאן — שני עמודים עם אותו טקסט (החנות נשארת; כאן מורידים כרום צוות). להפנות את /didgeridoos/ אל /shop/ — החנות לא נגעת. להקפיא — לחכות למסמך נפרד לכלי; לא לגעת עכשיו. חי: http://eyalamit-co-il-2026.s887.upress.link/didgeridoos/ מול http://eyalamit-co-il-2026.s887.upress.link/shop/,"אורקסטרטור 18.8.26: נעילת גל 2 כוללת את R1-12 כבנאי → להדביק גם כאן (אותו md, בלי כרום). GO BUILD על DG-04/05.",,
עמוד · כלי דיג'רידו למכירה,R1-12,DG-02,בתמונת ההירו (ובתמונה ליד «מי בונה את הכלים») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 02,"DEV NOTES מבקשים תמונת רקע של כלי בעבודת יד, ואפשרות לתמונה של אייל בסדנה, בלי שם קובץ. החי ב-/didgeridoos/ מציג didg-bells.jpg ו-eyal-workshop.jpg שנבחרו בצוות.",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה — אחרי DG-01 אם העמוד נשאר. הטקסט מודבק בנפרד (DG-04). לא דורסים את SHP-01 בחנות.,didgeridoos-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/didgeridoos/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.","מדיה בלי קובץ מאייל = לא ברור. לא לשלוח לאייל לפני DG-01 (אם יופנה/יוקפא השאלה מיותרת). רצועת bleed + studio-didgs.jpg אינה במסמך — כרום, יורדת ב-DG-04. פאזה א׳ 18.8.26.",,
עמוד · כלי דיג'רידו למכירה,R1-12,DG-03,ליד תיקים וסטנדים המסמך מציע תמונות קטנות בלי קובץ. הדביקו קבצים או אמרו בלי תמונות.,,,,ממתין לאייל,אייל,לא ברור,תמונות אביזרים,SECTION 07,"DEV NOTES: אפשר לשלב תמונות קטנות ליד כל פריט, בלי שם קובץ. לא רונדר רכיב תמונה (אין תוכן = אין רכיב).","קבצים/קישורים, או «בלי תמונות».",שיבוץ התמונות או השארת הרשימה כטקסט בלבד. אחרי DG-01 אם העמוד נשאר. לא דורסים את SHP-02 בחנות.,didgeridoos-defaults.php SECTION 07,http://eyalamit-co-il-2026.s887.upress.link/didgeridoos/,בלי תמונות — נשארים שמות הפריטים והקישורים כמו במסמך (כולל /instruments). יש תמונות — הדביקו קישורים או שמות קבצים בעמודת מילוי.,"לא הוצג placeholder. גלריית pending «תמונות המוצר» אינה במסמך — כרום ריק, יורדת ב-DG-04. פאזה א׳ 18.8.26.",,
עמוד · כלי דיג'רידו למכירה,R1-12,DG-04,—,,,,בוצע,—,ברור,סדר 01–10 + הירו בלי em + הסרת כרום צוות,SECTION 01–07 · 09–10,H1 עם em; תגי chap ותתי-H2 שהומצאו; bleed+ייחוס; SECTION 06 בכפילות steps+prose; חסרים CTA של 05/07/10; גלריית pending ריקה; product-cta עם «מחיר לפי התאמה» וקישור Morning של ספרי מוזה.,"SECTION 01–07 ו-09–10 ככתבם. H1: כלי דיג'רידו למכירה - כלים בעבודת יד. בלי em, בלי מחיר, בלי GI/Morning. ארבעה CTA ל-/contact. קישורים ככתבם כולל /instruments.",הדבקה מילה-במילה מה-md. לא להעתיק מ-shop-defaults.php. אין תוכן = אין רכיב (גלריה ממתינה יורדת).,didgeridoos-defaults.php,,,פאזה א׳ 18.8.26. לבצע רק אחרי DG-01=להדביק גם כאן ו-GO BUILD R1-12. /instruments 301 ל-R2-025; לא הומר ל-/bags/. WP-EI-01/02 לא נפתחו.,,
עמוד · כלי דיג'רידו למכירה,R1-12,DG-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 5 מהמסמך בסדר המסמך,SECTION 08,"faqblock CPT (cats:didgeridoos) במקום faq-inline. חמש השאלות קיימות אך בסדר CPT, לא בסדר SECTION 08.","חמש השאלות מ-SECTION 08 שורות 330–364, בסדר המסמך.","faq-inline, בלי לגעת ב-block-faq-list.php.",didgeridoos-defaults.php SECTION 08,,,פאזה א׳ 18.8.26. לבצע רק אחרי DG-01=להדביק גם כאן ו-GO BUILD R1-12.,,
עמוד · תיקים לדיג'רידו,R1-13,BAG-01,—,,,,בוצע,—,ברור,סדר 01–07+09–10 + הירו בלי em + הסרת H2/chap/mag שהומצאו,SECTION 01–07 · 09–10,H1 עם em; chap-ים; phero.sub קטוע; H2 כפול אחרי ההירו עם «צרו קשר»; mag של 03 לפני הפתיחה עם H3 וכיתוב «עבודת יד.»; H2 «בנויים מתוך הבנה של הכלי»; H2 «שווה לשמור עליו כמו שצריך» על 10.,SECTION 01–07 ו-09–10 ככתבם. H1: תיקים לדיג'רידו בלי em. 03: פתיחה + 7 נקודות כרשימה. כפתור הירו «לתיאום והתאמה של תיק לדיג'רידו» → /contact. «מתפרות מילגה» נשאר (שורה 112).,הדבקה מילה-במילה ב-bags-defaults.php אחרי GO BUILD. לא למחוק bleed/gallery/product-cta כאן (BAG-04/05/06).,bags-defaults.php phero + sections 01–07 · 09–10,http://eyalamit-co-il-2026.s887.upress.link/bags/,,פאזה א׳ 18.8.26. אין סקירה — md הוא הרצוי. תמונות 01–03 = BAG-03. FAQ = BAG-02.,,
עמוד · תיקים לדיג'רידו,R1-13,BAG-02,—,,,,בוצע,—,ברור,שאלות נפוצות — 7 מהמסמך,SECTION 08,faqblock CPT cats:bags בסדר אלפביתי; תווית «צרו קשר» במקום הבייטים; /didgeridoo-lessons במקום הנתיב הקנוני.,"שבע השאלות מ-SECTION 08 שורות 220–254 בסדר המסמך. לתיאום – מעבר ל־/contact · לפרטים צרו קשר → /contact · שיעורי נגינה → /lessons/ (md: /didgeridoo-lessons, 301×2 ל-/lessons/).","faq-inline, בלי לגעת ב-block-faq-list.php.",bags-defaults.php SECTION 08,http://eyalamit-co-il-2026.s887.upress.link/bags/,,פאזה א׳ 18.8.26. שבע השאלות קיימות ב-CPT אבל לא בסדר ולא עם הבייטים של הקישור. ממתין ל-GO BUILD.,,
עמוד · תיקים לדיג'רידו,R1-13,BAG-03,בתמונת ההירו ובתמונות ליד «למה צריך תיק» ו«איך בנויים» אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות הירו + split + mag,SECTION 01 · SECTION 02 · SECTION 03,"DEV NOTES מבקשים רקע של דיג' בתיק, תמונה בצד, ותקריב — בלי שם קובץ. כרגע didgs-window.jpg (×2) ו-studio-didgs.jpg.",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט מודבק ב-BAG-01.,bags-defaults.php phero.media + split 02 + mag 03,http://eyalamit-co-il-2026.s887.upress.link/bags/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה. תיקיית החומר ריקה ממדיה. bleed = BAG-05 נפרד. גלריה = BAG-04.,,
עמוד · תיקים לדיג'רידו,R1-13,BAG-04,ב«תמונות מהשטח» המסמך מבקש 6–10 תמונות בלי קובץ. הדביקו קבצים או אמרו בלי גלריה.,,,,ממתין לאייל,אייל,לא ברור,גלריית תמונות מהשטח,SECTION 09,"DEV NOTES: גלריה 6–10 תמונות אמיתיות, בלי שם קובץ. החי: «גלריית מוצר» / «תמונות המוצר» + שני מצייני ממתין (אין תוכן = אין רכיב). הכותרות האלה אינן במסמך.","קבצים/קישורים, או «בלי גלריה». פסקאות SECTION 09 נשארות.",שיבוץ התמונות או הסרת המציינים. לא משאירים כרטיס ריק.,bags-defaults.php gallery pending,http://eyalamit-co-il-2026.s887.upress.link/bags/,"יש תמונות — הדביקו קישורים או שמות קבצים בעמודת מילוי. בלי גלריה — שלוש הפסקאות נשארות, המציינים יורדים.",מדיה בלי קובץ + תוספת צוות. לא הומצאו קבצי תמונה. WP-EI-02 hold נדחה.,,
עמוד · תיקים לדיג'רידו,R1-13,BAG-05,"הוספנו רצועת ציטוט עם תמונת סדנה. המשפט כבר בגוף. להשאיר ולדייק, או להסיר.",,,,ממתין לאייל,אייל,לא ברור,רצועת bleed + ציטוט,SECTION 04 (המשפט בגוף; הרצועה אינה במסמך),"bleed עם eyal-workshop.jpg + «התאמה מדויקת לכלי, לא ייצור המוני.» + ייחוס «אייל עמית». אין רכיב כזה ב-md. הציטוט פרפרזה של SECTION 04. יש גוף — אסור למחוק בלי הכרעה.",להשאיר / להוריד.,לפי הבחירה. פסקאות SECTION 04 נשארות מ-BAG-01.,bags-defaults.php bleed,http://eyalamit-co-il-2026.s887.upress.link/bags/,להשאיר ולדייק את הרצועה. להסיר — הרצועה יורדת; המשפט נשאר בגוף «עבודת יד והתאמה לכלי».,"תוספת צוות שאינה במסמך = לא ברור. תמונת הרצועה בלי קובץ מאייל — אם נימרוד משאיר, עולה לאייל כמדיה.",,
עמוד · תיקים לדיג'רידו,R1-13,BAG-06,—,,,,בוצע,—,ברור,product-cta GI + מחיר,SECTION 10 (במסמך: כפתור /contact בלבד),«מחיר לפי התאמה»; «לרכישה מאובטחת» → https://mrng.to/MTUiO3vkIg (URL חבילת הספרים מ-MUZZA.md); «קישור רכישה זמני — ממתין לקישור הסופי מאייל». אין מחיר/GI/Morning ב-bags md. WP-EI-01 hold נדחה. יש גוף — לא מוחקים בלי הכרעה.,להסיר / להשאיר (ואז אייל ממלא קישור רכישה).,לפי הבחירה. כפתור /contact של SECTION 10 מודבק ב-BAG-01 בנפרד.,bags-defaults.php product-cta gi_temp,http://eyalamit-co-il-2026.s887.upress.link/bags/,"להסיר — יורדים המחיר, כפתור הרכישה והערת ה-GI; נשאר כפתור צור קשר מהמסמך. להשאיר — הרכישה נשארת עד שאייל ימלא קישור בעמודת מילוי (לא משאירים את קישור הספרים).",אורקסטרטור 18.8.26: כמו STN-05/FLR-05 — URL הספרים אינו במסמך התיקים. להסיר product-cta ב-GO BUILD; כפתור /contact מ-SECTION 10 נשאר.,,
עמוד · סטנדים לאחסון דיג'רידו,R1-14,STN-01,בתמונת הרקע של ההירו יש תמונת סטודיו בלי קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונת הירו,SECTION 01,"DEV NOTES מבקשים תמונת רקע של סטנדים לאחסון בבית/סטודיו, בלי שם קובץ. החי: studio-didgs.jpg (סטודיו, לא סטנד אחסון).",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט מ-SECTION 01 מודבק בנפרד (STN-03).,stands-storage-defaults.php phero.media,http://eyalamit-co-il-2026.s887.upress.link/stands-storage/,"להשאיר את התמונה הקיימת. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — נשארים H1, התת והכפתור.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה. תיקיית הסנכרון ריקה ממדיה. פאזה א׳ 18.8.26.,,
עמוד · סטנדים לאחסון דיג'רידו,R1-14,STN-02,לאורך הסברים על הסטנדים המסמך מבקש תמונות בלי קובץ. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות לאורך העמוד,SECTION 02 · 03 · 04 · 05 · 06 · 07 · 10,"DEV NOTES מבקשים תמונות תלייה/עמידה, תמונה לכל סוג, close-up, 2–3 עיצובים, אווירה, ורקע עדין ל-CTA — בלי שם קובץ. החי: didgs-window.jpg ב-split; חמש תמונות ב-.reveals; bleed didg-bells.jpg; גלריית pending (תוספת צוות, יורדת ב-STN-03).",להשאיר את תמונת «מה זה» / להחליף (קבצים או קישורים במילוי) / בלי תמונות.,לפי הבחירה. הטקסט מודבק ב-STN-03. בלי קובץ = אין רכיב.,stands-storage-defaults.php SECTION 02 split + 03–07 + 10,http://eyalamit-co-il-2026.s887.upress.link/stands-storage/,"להשאיר את תמונת «מה זה» הקיימת (didgs-window.jpg), בלי השאר. להחליף — הדביקו קישורים או שמות קבצים בעמודת מילוי. בלי תמונות — נשאר הטקסט בלבד.",מדיה בלי קובץ מאייל = לא ברור. לא הוצג placeholder חדש. גלריית pending אינה במסמך — יורדת עם STN-03. לא לערבב עם R1-15. פאזה א׳ 18.8.26.,,
עמוד · סטנדים לאחסון דיג'רידו,R1-14,STN-03,—,,,,בוצע,—,ברור,סדר 01–07+09 + הירו בלי em + הסרת כרום שהומצא,SECTION 01–07 · SECTION 09,H1 עם em; תג-פרק; הירו מפוצל לסקשן H2 «לתלייה או בעמידה»; .reveals עם כותרות שהומצאו; כפילות 03 תחת H2 «חלק מהמרחב»; תגי dd; H2 «איך בוחרים»; bleed+ייחוס; H3 שקוצרו ב-steps + H2 «זמן הכנה» כפול; גלריית pending. FAQ ו-CTA ב-STN-04/05.,"SECTION 01–07 ו-09 ככתבם. H1: סטנדים לאחסון דיג'רידו. תת: לתלייה או בעמידה. בלי em, בלי reveals, בלי bleed, בלי גלריה. 03 כרשימה כתובה. 04 שני ### בלי תגים. 09 ארבעה שלבים + פסקת זמן הכנה, בלי H2 שהומצא. סטנד לעמידה כאן = אחסון, לא /stand-floor/.",הדבקה מילה-במילה בסדר המסמך. לא להעתיק מ-stand-floor-defaults.php.,stands-storage-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/stands-storage/,,פאזה א׳ 18.8.26. אין סקירה — md הוא הרצוי. ממתין ל-GO BUILD. אחים מחוץ לסקואופ.,,
עמוד · סטנדים לאחסון דיג'רידו,R1-14,STN-04,—,,,,בוצע,—,ברור,שאלות נפוצות — 5 מהמסמך,SECTION 08,"faqblock CPT (cats:stands-storage) בסדר אחר, אחרי SECTION 09 במקום לפניו.","חמש השאלות מ-SECTION 08 שורות 237–262, בסדר המסמך, אחרי 07 ולפני 09.","faq-inline, בלי לגעת ב-block-faq-list.php.",stands-storage-defaults.php SECTION 08,http://eyalamit-co-il-2026.s887.upress.link/stands-storage/,,פאזה א׳ 18.8.26. הבייטים קרובים ל-CPT; הסדר והרכיב לא. ממתין ל-GO BUILD.,,
עמוד · סטנדים לאחסון דיג'רידו,R1-14,STN-05,—,,,,בוצע,—,ברור,"CTA תחתון ל-/contact, בלי GI/מחיר",SECTION 10,product-cta: «מחיר לפי התאמה»; כפתור «לרכישה מאובטחת» אל https://mrng.to/MTUiO3vkIg (קישור חבילת הספרים); הערת «קישור רכישה זמני». אין במסמך. CTA המסמך הוא לתיאום והזמנה → /contact.,כותרת «רוצים סטנד שמתאים בדיוק לדיג'רידו שלכם?» + הגוף מ-SECTION 10 + כפתור לתיאום והזמנה → /contact.,cta אחד. מחיקת gi_temp / מחיר / mrng.to / pending-note. WP-EI-01 לא נפתח.,stands-storage-defaults.php SECTION 10,http://eyalamit-co-il-2026.s887.upress.link/stands-storage/,,פאזה א׳ 18.8.26. לא הומצא קישור רכישה. תקדים BK-03. ממתין ל-GO BUILD.,,
עמוד · סטנד רצפתי לנגינה בישיבה,R1-15,FLR-01,בתמונת ההירו (ובתמונה ליד «למה בכלל צריך סטנד») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות הירו וסקשן 02,SECTION 01 · SECTION 02,"DEV NOTES מבקשים תמונת רקע של הסטנד בשימוש אמיתי, ואפשרות לתמונה תומכת בסקשן 02, בלי שם קובץ. כרגע eyal-playing.jpg פעמיים.",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט מ-SECTION 01–02 מודבק בנפרד (FLR-03).,stand-floor-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/stand-floor/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה. תיקיית הסטנד הרצפתי בדרייב ריקה ממדיה. פאזה א׳ 18.8.26.,,
עמוד · סטנד רצפתי לנגינה בישיבה,R1-15,FLR-02,"בסקשנים 03, 04 ו-06 (ובגלריה) המסמך מבקש תמונות בלי קובץ. הדביקו קבצים או אמרו בלי תמונות.",,,,ממתין לאייל,אייל,לא ברור,תמונות 03 / 04 / 06 וגלריה אופציונלית,SECTION 03 · 04 · 06 · 10,"DEV NOTES: close-up השחלה, שימושים שונים, תמונת תרגול, וגלריה 4–6 «לא חובה» — בלי שם קובץ. החי מציג שני כרטיסי pending «תמונות המוצר» (אין תוכן = אין רכיב).","קבצים/קישורים, או «בלי תמונות».",שיבוץ התמונות או השארת הטקסט בלבד. כרטיסי pending יורדים ב-FLR-03.,stand-floor-defaults.php SECTION 03 · 04 · 06 · gallery,http://eyalamit-co-il-2026.s887.upress.link/stand-floor/,"בלי תמונות — נשאר הטקסט כמו במסמך, בלי גלריה ובלי תמונות ב-03/04/06. יש תמונות — הדביקו קישורים או שמות קבצים בעמודת מילוי.","לא הומצאה תמונה. SECTION 10 הוא הערות למתכנת, לא סקשן משתמש. פאזה א׳ 18.8.26.",,
עמוד · סטנד רצפתי לנגינה בישיבה,R1-15,FLR-03,—,,,,בוצע,—,ברור,סדר 01–07 + הירו בלי em + הסרת כרום שהומצא,SECTION 01–07,תג «סטנד רצפתי לדיג'רידו»; H1 עם em על «נמוכה»; סקשן «פתיחה» שכופל את ההירו; 4 צעדים עם H3 שהומצאו + פרוזה כפולה; גלריית pending «תמונות המוצר».,"SECTION 01–07 ככתבם. H1: סטנד רצפתי לדיג'רידו לנגינה בישיבה נמוכה. בלי em, בלי תג, בלי צעדים ממציאים, בלי גלריה ריקה. קישור 06: טיפול בדיג'רידו → /treatment/.",הדבקה מילה-במילה בסדר המסמך. לא להעתיק מ-stands-storage-defaults.php ולא מכרטיס החנות שהוסר.,stand-floor-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/stand-floor/,,פאזה א׳ 18.8.26. אין סקירה — md הוא הרצוי. /didgeridoo-treatment 301 פעמיים ל-/treatment/ (200); ניתוב קנוני כמו LSN-07. SECTION 10 לא רונדר.,,
עמוד · סטנד רצפתי לנגינה בישיבה,R1-15,FLR-04,—,,,,בוצע,—,ברור,שאלות נפוצות — 4 מהמסמך,SECTION 08,faqblock CPT (cats:stand-floor). ארבע השאלות קיימות אבל בסדר הפוך למסמך.,"ארבע השאלות מ-SECTION 08 שורות 211–221, בסדר המסמך.","faq-inline, בלי לגעת ב-block-faq-list.php.",stand-floor-defaults.php SECTION 08,http://eyalamit-co-il-2026.s887.upress.link/stand-floor/,,פאזה א׳ 18.8.26. ממתין ל-GO BUILD.,,
עמוד · סטנד רצפתי לנגינה בישיבה,R1-15,FLR-05,—,,,,בוצע,—,ברור,"CTA מגע מ-SECTION 09, בלי רכישה/מחיר",SECTION 09,"product-cta מזריק «מחיר לפי התאמה», כפתור «לרכישה מאובטחת» ל-mrng.to של חבילת הספרים, ו«קישור רכישה זמני». חסר כפתור המגע של המסמך.",H2 רוצה לבדוק אם זה מתאים לך? + שתי הפסקאות + [ליצירת קשר](/contact).,cta בלי מחיר/GI. לא לגעת ב-product-cta.php. WP-EI-01/02 נדחים.,stand-floor-defaults.php SECTION 09,http://eyalamit-co-il-2026.s887.upress.link/stand-floor/,,פאזה א׳ 18.8.26. תקדים BK-03: כרום GI שאינו במסמך יורד. ממתין ל-GO BUILD.,,
עמוד · הכשרות למטפלים,R1-07,TT-01,—,,,,הוקפא,—,לא ברור,אין חומר מאייל לעמוד הכשרות למטפלים,—,"אין תיקייה ב-content 13.8.26, אין סקירה הכשרה, החי הוא טיוטת צוות ב-therapist-training-defaults.php. FAQ/אודות אינם מקור. בלי סקירה אין אין-הערה=מאושר.",אין. לא ממציאים עותק הכשרות.,אין בנייה. העמוד מוקפא עד שיהיה מקור מצוטט מאייל.,therapist-training-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/learning/therapist-training/,—,"פאזה א׳ 18.8.26. HTTP 200. חי=defaults (team draft). אזכורי הכשרה באודות/שיטה/FAQ שייכים ל-R1-21/R1-03/R1-25, לא בייטים לעמוד הזה. אב R1-06 ואחים R1-08/R1-09 מחוץ לסקואופ.",,
עמוד · הרצאות,R1-08,LEC-01,—,,,,הוקפא,—,לא ברור,אין חומר מאייל לעמוד הרצאות,—,"אין תיקייה ב-content 13.8.26, אין סקירה הרצאות, החי הוא טיוטת צוות ב-lectures-defaults.php. בלי סקירה אין אין-הערה=מאושר. FAQ/אודות אינם מקור.",אין. לא ממציאים עותק הרצאות.,אין בנייה. העמוד מוקפא עד שיהיה מקור מצוטט מאייל.,lectures-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/learning/lectures/,—,פאזה א׳ 18.8.26. HTTP 200. חי=defaults (team draft מ-mockup+about). אין «הרצא» ב-md/txt בחבילה. אודות.docx מונה הרצאות ברשימת פעילויות — לא בייטים. FAQ סדנאות = R1-25/R1-09. אב R1-06 ואחים R1-07/R1-09 מחוץ לסקואופ.,,
עמוד · סדנאות,R1-09,WKS-01,—,,,,הוקפא,—,לא ברור,אין חומר מאייל לעמוד הסדנאות,—,"אין תיקייה ב-content 13.8.26, אין סקירה סדנאות, החי הוא טיוטת צוות ב-workshops-defaults.php. FAQ אסור כמקור. בלי סקירה אין אין-הערה=מאושר.",אין. לא ממציאים עותק סדנאות.,אין בנייה. העמוד מוקפא עד שיהיה מקור מצוטט מאייל.,workshops-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/learning/workshops/,—,פאזה א׳ 18.8.26. HTTP 200. חי=defaults. אזכור «סדנאות» באודות הוא ביוגרפיה (R1-21). FAQ = R1-25. אב R1-06 ואחים R1-07/08 מחוץ לסקואופ.,,
עמוד · גלריות — קטלוג מרכזי,R1-27,GAL-01,—,,,,הוקפא,—,לא ברור,אין חומר מאייל לעמוד ה-hub,—,"אין תיקייה ב-content 13.8.26, אין סקירה גלריות, החי הוא PLACEHOLDER ב-galleries-defaults.php. ea-media-gallery-2026-07-02.zip אינו md ואינו מקור §3א (לא נפתח). בלי סקירה אין אין-הערה=מאושר.",אין. לא ממציאים עותק hub.,אין בנייה. העמוד מוקפא עד שיהיה מקור מצוטט מאייל.,galleries-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/galleries/,—,"פאזה א׳ 18.8.26. HTTP 200. חי=defaults (PLACEHOLDER). אפס /galleries/ ב-md. אזכורי גלריה באודות/בית/ספרים הם עמודים אחרים. GSC /Gallery/ = URL ייצור ישן, לא עותק hub. zip מדיה לא נפרס. ROUND1_SEED מקור חומר ריק.",,
עמוד · כושי בלאנטיס,R1-17,KSH-01,בתמונת הרקע של ההירו אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונת הירו,SECTION 01,"SECTION 01 הוא H1 + משפט בלבד, בלי קובץ. כרגע kushi-blantis-cover.jpg בהירו.",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט מ-SECTION 01 מודבק בנפרד (KSH-06). כפתור 69 ₪ יורד ב-KSH-08.,kushi-blantis-defaults.php phero.media,http://eyalamit-co-il-2026.s887.upress.link/books/kushi-blantis/,להשאיר את תמונת ההירו הקיימת. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — נשארים H1 והמשפט.,מדיה בלי קובץ מאייל = לא ברור. תיקיית החומר ריקה ממדיה. לא הומצאה תמונה חדשה. פאזה א׳ 18.8.26.,,
עמוד · כושי בלאנטיס,R1-17,KSH-02,בגלריה המסמך מבקש תמונות מהדף הקיים בלי שם קובץ. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,גלריה,SECTION 05,"DEV NOTES: למשוך כריכה / פנים / אווירה מהדף הקיים, לא להמציא קבצים — בלי שם קובץ. כרגע חמש תמונות אתר + כיתובים שהומצאו + קופסת «בחירת ביניים».",להשאיר / להחליף (קבצים או קישורים במילוי) / בלי גלריה.,לפי הבחירה. כיתובים וקופסת «ממתין» אינם במסמך — יורדים ב-KSH-06.,kushi-blantis-defaults.php gallery,http://eyalamit-co-il-2026.s887.upress.link/books/kushi-blantis/,להשאיר את חמש התמונות הקיימות. להחליף — הדביקו קבצים או קישורים בעמודת מילוי. בלי גלריה — הסקשן לא יוצג.,מדיה בלי קובץ = לא ברור. דף הייצור שצוין ב-DEV NOTES חי 200; לא נלקחו ממנו שמות קבצים (אין בייטים במסמך). WP-EI-02 לא נפתח. פאזה א׳ 18.8.26.,,
עמוד · כושי בלאנטיס,R1-17,KSH-03,בסקשן הכתבות אין קבצים במסמך. הדביקו כתבות או אמרו בלי כתבות.,,,,ממתין לאייל,אייל,לא ברור,כתבות מהעיתונות,SECTION 11,"DEV NOTES: להוסיף תמונות כתבות אם קיימות, בלי שם קובץ. החי מציג קופסת «ממתין לאישור» עם קישור /press/ שהומצא.","כתבות/תמונות (קישור או קובץ במילוי), או «בלי כתבות».","שיבוץ החומר, או השארת העמוד בלי הסקשן. הקופסה והקישור ל-/press/ יורדים (אין תוכן = אין רכיב).",kushi-blantis-defaults.php SECTION 11,http://eyalamit-co-il-2026.s887.upress.link/books/kushi-blantis/,יש כתבות — הדביקו קבצים או קישורים בעמודת מילוי. בלי כתבות — הסקשן לא יוצג.,לא הומצאו כתבות. לא הושאל עמוד /press/. פאזה א׳ 18.8.26.,,
